step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
484,5198,0.5395174083728297,271,48,35,157,389,4311
485,5176,0.5351419627766577,263,44,33,159,382,4317
486,5173,0.5345448766027016,267,42,36,147,379,4305
487,5128,0.5255776538100527,231,58,32,163,360,4329
488,5129,0.5257771263446831,232,42,47,158,358,4291
489,5112,0.5223850261224869,242,62,31,166,359,4269
490,5114,0.5227842099971101,233,41,50,168,345,4275
491,5101,0.5201890172928251,238,67,30,192,344,4243
492,5107,0.5213869424423259,236,33,51,179,346,4256
493,5078,0.5155949400822015,242,62,24,196,344,4239
494,5087,0.5173929793688865,233,34,47,177,365,4222
495,5072,0.5143960200084604,258,57,28,177,344,4223
496,5081,0.5161943336753005,228,48,43,174,362,4217
497,5067,0.513396792782751,240,61,37,194,313,4236
498,5074,0.5147956791249714,210,52,49,183,367,4206
499,5069,0.513796496971383,261,52,43,194,318,4206
500,5100,0.5199893401555818,228,52,47,181,382,4179
501,5107,0.5213869424423259,271,86,39,201,322,4181
502,5147,0.5293661638817693,214,60,69,202,375,4187
503,5151,0.5301633287015096,256,81,47,223,333,4207
504,5191,0.5381258491640413,236,53,64,220,388,4190
505,5188,0.5375292834563136,280,84,40,223,364,4200
506,5200,0.5399148845555657,246,51,65,200,423,4203
507,5191,0.5381258491640413,292,68,39,221,365,4215
508,5206,0.5411070065158786,241,47,52,192,433,4226
509,5185,0.5369326102732759,283,71,33,182,369,4268
510,5204,0.5407096841258419,243,49,55,175,403,4260
511,5198,0.5395174083728297,288,53,39,194,345,4285
512,5181,0.5361368817662839,228,55,35,198,410,4272
513,5172,0.5343458257911686,260,46,44,185,354,4292
514,5168,0.5335495137851068,232,59,37,175,389,4280
515,5165,0.532952167341895,265,54,40,181,343,4285
516,5167,0.5333504089077286,238,55,40,178,381,4273
